,sample.id,EV1,EV2,EV3,EV4,Cultivar_Type,Type
247,sorted_bam/Sour_Tsunami_x_Cataract_Ku_RSP10215_Drug_THC_CBD_sorted.bam,-0.04062275,-0.020991616,-0.043183665,-0.001937901,Sour_Tsunami_x_Cataract_Ku_Type II_F_RSP10215,Type II
273,sorted_bam/TRIDENT_RSP10074_Drug_CBD_sorted.bam,-0.122567216,0.027917694,-0.013593199,-0.018924895,TRIDENT_Type II_F_RSP10074,Type II
276,sorted_bam/UNITY_UNITYEmeraldCup_pooled_RSP10081_Drug_THC_CBD_sorted.bam,0.022065348,-0.010060841,0.047270764,0.012436545,UNITY_Type II_F_RSP10081,Type II
280,sorted_bam/VITAMIN_CBD_RSP10078_Drug_CBD_sorted.bam,-0.063489179,0.014202092,0.010462175,-0.102826664,VITAMIN_CBD_Type II_F_RSP10078,Type II
4,sorted_bam/AC_DC_RSP10084_Drug_CBD_sorted.bam,0.047828025,-0.024566304,0.07791579,-0.13484658,AC/DC_Type III_F_RSP10084,Type III
16,sorted_bam/BGKC_4_1_RSP10426_Drug_CBD_sorted.bam,0.020589667,-0.051729197,0.068912886,-0.08188118,BGKC_4_1_Type III_F_RSP10426,Type III
18,sorted_bam/BHUTAN_RSP10079_Unknown_sorted.bam,0.047267821,-0.0228209,0.076961073,-0.138032787,BHUTAN_Type III_F_RSP10079,Type III
66,sorted_bam/CATATONIC_AC_DC_RSP10072_Drug_CBD_sorted.bam,0.044260863,-0.025751166,0.078752618,-0.131653635,CATATONIC_AC_DC_Type III_F_RSP10072,Type III
67,sorted_bam/CBDI_AC_DC_RSP10103_Drug_CBD_sorted.bam,0.047419229,-0.027869969,0.079669388,-0.137985219,CBDI_AC_DC_Type III_F_RSP10103,Type III
147,sorted_bam/HARLEQUIN_TSUNAMI_RSP10099_Drug_CBD_sorted.bam,0.042917637,-0.063647066,-0.002282375,-0.043178427,HARLEQUIN_TSUNAMI_Type III_F_RSP10099,Type III
149,sorted_bam/HARLE_TSU_2_RSP10101_Drug_CBD_sorted.bam,0.026847139,-0.046677503,0.037647663,-0.069766187,HARLE_TSU_2_Type III_F_RSP10101,Type III
215,sorted_bam/PINEAPPLE_TSU_2_RSP10077_Drug_CBD_sorted.bam,0.044222691,-0.041292885,0.017426843,-0.026361695,PINEAPPLE_TSU_2_Type III_F_RSP10077,Type III
244,sorted_bam/Sour_Tsunami_1_RSP10384_Drug_CBD_sorted.bam,0.060804763,-0.046211653,0.016482268,-0.062287764,Sour_Tsunami_1_Type III_F_RSP10384,Type III
